refid,year,pubmedid,pubmedcentralid,doi,uri
rid.4443,2001,11321100,,10.1099/00207713-51-2-535,
rid.17788,2016,27412336,,10.1099/ijsem.0.001307,
rid.17798,2016,27412503,,10.1099/ijsem.0.001309,
rid.17799,2016,27411686,,10.1099/ijsem.0.001301,
rid.112,1965,,,,
rid.17791,2016,27411921,,10.1099/ijsem.0.001303,
rid.17787,2016,27412604,,10.1099/ijsem.0.001310,
rid.17842,2016,27488455,,10.1099/ijsem.0.001363,
rid.17843,2016,27489234,,10.1099/ijsem.0.001357,
rid.17844,2016,27487774,,10.1099/ijsem.0.001358,
rid.17845,2016,27493151,,10.1099/ijsem.0.001366,
rid.17929,2016,27566052,,10.1099/ijsem.0.001461,
rid.17856,2016,27499141,,10.1099/ijsem.0.001376,
rid.3247,1905,,,,
rid.17848,2016,27498962,,10.1099/ijsem.0.001372,
rid.17853,2016,27498537,,10.1099/ijsem.0.001377,
rid.17854,2016,27498827,,10.1099/ijsem.0.001379,
rid.17865,2016,27499106,,10.1099/ijsem.0.001386,
rid.17852,2016,27498791,,10.1099/ijsem.0.001362,
rid.17846,2016,27498829,,10.1099/ijsem.0.001370,
rid.17851,2016,27498849,,10.1099/ijsem.0.001380,
rid.18430,1984,,,,
rid.17859,2016,27498788,,10.1099/ijsem.0.001390,
rid.17862,2016,27498823,,10.1099/ijsem.0.001391,
rid.17867,2016,27498836,,10.1099/ijsem.0.001392,
rid.17868,2016,27498985,,10.1099/ijsem.0.001395,
rid.17861,2016,27498989,,10.1099/ijsem.0.001396,
rid.17855,2016,27499077,,10.1099/ijsem.0.001374,
rid.17864,2016,27498790,,10.1099/ijsem.0.001378,
rid.17871,2016,27499019,,10.1099/ijsem.0.001399,
rid.17847,2016,27499008,,10.1099/ijsem.0.001373,
rid.17872,2016,27503117,,10.1099/ijsem.0.001381,
rid.17873,2016,27503219,,10.1099/ijsem.0.001384,
rid.17863,2016,27499129,,10.1099/ijsem.0.001387,
rid.17869,2016,27499156,,10.1099/ijsem.0.001388,
rid.17858,2016,27498848,,10.1099/ijsem.0.001393,
rid.17860,2016,27498967,,10.1099/ijsem.0.001394,
rid.17874,2016,2750333,,10.1099/ijsem.0.001398,
rid.17879,2016,27506590,,10.1099/ijsem.0.001407,
rid.17895,2016,27528019,,10.1099/ijsem.0.001424,
rid.17890,2016,27514821,,10.1099/ijsem.0.001414,
rid.17891,2016,27516092,,10.1099/ijsem.0.001351,
rid.17877,2016,27503428,,10.1099/ijsem.0.001401,
rid.17876,2016,27503611,,10.1099/ijsem.0.001405,
rid.17875,2016,27503709,,10.1099/ijsem.0.001406,
rid.17880,2016,27506824,,10.1099/ijsem.0.001410,
rid.18682,2017,28629495,,10.1099/ijsem.0.001875,
rid.4098,1977,,,10.1099/00207713-27-3-241,
rid.17870,2016,27498969,,10.1099/ijsem.0.001383,
rid.18684,2017,28629505,,10.1099/ijsem.0.001858,
rid.18678,2017,28629493,,10.1099/ijsem.0.001882,
rid.18676,2017,28629506,,10.1099/ijsem.0.001884,
rid.18679,2017,28629504,,10.1099/ijsem.0.001881,
rid.18668,2017,28629503,,10.1099/ijsem.0.001898,
rid.18675,2017,28629499,,10.1099/ijsem.0.001885,
rid.18674,2017,28629500,,10.1099/ijsem.0.001891,
rid.18673,2017,28629496,,10.1099/ijsem.0.001892,
rid.18686,2017,28211316,,10.1099/ijsem.0.001847,
rid.18680,2017,28629502,,10.1099/ijsem.0.001880,
rid.18681,2017,28629494,,10.1099/ijsem.0.001878,
rid.18677,2017,28646634,,10.1099/ijsem.0.001883,
